date,gm,zone,name,stack,flag,picked_count
2026-07-07,Akash Sharma,North,BikanerHub_BKB_PL,MYE,Present,17
2026-07-07,Akash Sharma,North,ChoumuHub_JAI_PL,EXT,Future,2
2026-07-07,Akash Sharma,North,ChoumuHub_JAI_PL,EXT,Present,8
2026-07-07,Akash Sharma,North,ChoumuHub_JAI_PL,FK,Future,96
2026-07-07,Akash Sharma,North,ChoumuHub_JAI_PL,FK,Past,1162
2026-07-07,Akash Sharma,North,ChoumuHub_JAI_PL,FK,Present,1465
2026-07-07,Akash Sharma,North,ChoumuHub_JAI_PL,MYE,Past,2
2026-07-07,Akash Sharma,North,DholpurHub_DLP_PL,FK,Future,2
2026-07-07,Akash Sharma,North,DholpurHub_DLP_PL,FK,Past,3
2026-07-07,Akash Sharma,North,DholpurHub_DLP_PL,FK,Present,662
2026-07-07,Akash Sharma,North,HanumangarhHub_HAN_PL,EXT,Present,2
2026-07-07,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Future,3
2026-07-07,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Past,188
2026-07-07,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Present,372
2026-07-07,Akash Sharma,North,HanumangarhHub_HAN_PL,MYE,Past,4
2026-07-07,Akash Sharma,North,HanumangarhHub_HAN_PL,MYE,Present,4
2026-07-07,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Future,10
2026-07-07,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Past,8
2026-07-07,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Present,205
2026-07-07,Akash Sharma,North,HawamahalHub_JAI_PL,FK,Future,405
2026-07-07,Akash Sharma,North,HawamahalHub_JAI_PL,FK,Past,3588
2026-07-07,Akash Sharma,North,HawamahalHub_JAI_PL,FK,Present,21960
2026-07-07,Akash Sharma,North,HawamahalHub_JAI_PL,MYE,Future,15
2026-07-07,Akash Sharma,North,HawamahalHub_JAI_PL,MYE,Past,337
2026-07-07,Akash Sharma,North,HawamahalHub_JAI_PL,MYE,Present,355
2026-07-07,Akash Sharma,North,HawamahalHub_JAI_PL,MYS,Future,46
2026-07-07,Akash Sharma,North,HawamahalHub_JAI_PL,MYS,Past,15
2026-07-07,Akash Sharma,North,HawamahalHub_JAI_PL,MYS,Present,1124
2026-07-07,Akash Sharma,North,IDENTIFYPLUSRAJSAMANDODH_RJS_PL,FK,Future,33
2026-07-07,Akash Sharma,North,IDENTIFYPLUSRAJSAMANDODH_RJS_PL,FK,Present,355
2026-07-07,Akash Sharma,North,IDENTIFYPLUSSHAHPURAODH_SHA_PL,FK,Future,47
2026-07-07,Akash Sharma,North,IDENTIFYPLUSSHAHPURAODH_SHA_PL,FK,Past,7
2026-07-07,Akash Sharma,North,IDENTIFYPLUSSHAHPURAODH_SHA_PL,FK,Present,1499
2026-07-07,Akash Sharma,North,IdentifyPlusTonkODH_TNK_PL,FK,Future,105
2026-07-07,Akash Sharma,North,IdentifyPlusTonkODH_TNK_PL,FK,Past,9
2026-07-07,Akash Sharma,North,IdentifyPlusTonkODH_TNK_PL,FK,Present,99
2026-07-07,Akash Sharma,North,JaipurHub_JAI_PL,EXT,Future,89
2026-07-07,Akash Sharma,North,JaipurHub_JAI_PL,EXT,Past,145
2026-07-07,Akash Sharma,North,JaipurHub_JAI_PL,EXT,Present,1711
2026-07-07,Akash Sharma,North,JaipurHub_JAI_PL,FK,Future,821
2026-07-07,Akash Sharma,North,JaipurHub_JAI_PL,FK,Past,14644
2026-07-07,Akash Sharma,North,JaipurHub_JAI_PL,FK,Present,71846
2026-07-07,Akash Sharma,North,JaipurHub_JAI_PL,MYE,Future,156
2026-07-07,Akash Sharma,North,JaipurHub_JAI_PL,MYE,Past,2038
2026-07-07,Akash Sharma,North,JaipurHub_JAI_PL,MYE,Present,4184
2026-07-07,Akash Sharma,North,JaipurHub_JAI_PL,MYS,Future,521
2026-07-07,Akash Sharma,North,JaipurHub_JAI_PL,MYS,Past,859
2026-07-07,Akash Sharma,North,JaipurHub_JAI_PL,MYS,Present,18323
2026-07-07,Akash Sharma,North,JhunjhunuHub_JNJ_PL,EXT,Future,2
2026-07-07,Akash Sharma,North,JhunjhunuHub_JNJ_PL,EXT,Past,1
2026-07-07,Akash Sharma,North,JhunjhunuHub_JNJ_PL,EXT,Present,5
2026-07-07,Akash Sharma,North,JhunjhunuHub_JNJ_PL,FK,Future,2
2026-07-07,Akash Sharma,North,JhunjhunuHub_JNJ_PL,FK,Past,29
2026-07-07,Akash Sharma,North,JhunjhunuHub_JNJ_PL,FK,Present,135
