date,gm,zone,name,stack,flag,picked_count
2026-05-01,Akash Sharma,North,DholpurHub_DLP_PL,FK,Past,13
2026-05-01,Akash Sharma,North,DholpurHub_DLP_PL,FK,Present,26
2026-05-01,Akash Sharma,North,HanumangarhHub_HAN_PL,EXT,Present,4
2026-05-01,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Future,3
2026-05-01,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Past,1
2026-05-01,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Present,315
2026-05-01,Akash Sharma,North,HanumangarhHub_HAN_PL,MYE,Future,1
2026-05-01,Akash Sharma,North,HanumangarhHub_HAN_PL,MYE,Present,3
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Future,8
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Past,47
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Present,215
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,FK,Future,1341
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,FK,Past,121
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,FK,Present,23106
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,MYE,Future,35
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,MYE,Past,6
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,MYE,Present,51
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,MYS,Future,49
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,MYS,Past,31
2026-05-01,Akash Sharma,North,HawamahalHub_JAI_PL,MYS,Present,116
2026-05-01,Akash Sharma,North,IDENTIFYPLUSRAJSAMANDODH_RJS_PL,FK,Past,19
2026-05-01,Akash Sharma,North,IDENTIFYPLUSRAJSAMANDODH_RJS_PL,FK,Present,201
2026-05-01,Akash Sharma,North,IDENTIFYPLUSSHAHPURAODH_SHA_PL,FK,Future,1
2026-05-01,Akash Sharma,North,IDENTIFYPLUSSHAHPURAODH_SHA_PL,FK,Past,26
2026-05-01,Akash Sharma,North,IDENTIFYPLUSSHAHPURAODH_SHA_PL,FK,Present,1614
2026-05-01,Akash Sharma,North,JaipurHub_JAI_PL,EXT,Future,85
2026-05-01,Akash Sharma,North,JaipurHub_JAI_PL,EXT,Past,128
2026-05-01,Akash Sharma,North,JaipurHub_JAI_PL,EXT,Present,1381
2026-05-01,Akash Sharma,North,JaipurHub_JAI_PL,FK,Future,2816
2026-05-01,Akash Sharma,North,JaipurHub_JAI_PL,FK,Past,879
2026-05-01,Akash Sharma,North,JaipurHub_JAI_PL,FK,Present,71265
2026-05-01,Akash Sharma,North,JaipurHub_JAI_PL,MYE,Future,377
2026-05-01,Akash Sharma,North,JaipurHub_JAI_PL,MYE,Past,109
2026-05-01,Akash Sharma,North,JaipurHub_JAI_PL,MYE,Present,1442
2026-05-01,Akash Sharma,North,JaipurHub_JAI_PL,MYS,Future,127
2026-05-01,Akash Sharma,North,JaipurHub_JAI_PL,MYS,Past,215
2026-05-01,Akash Sharma,North,JaipurHub_JAI_PL,MYS,Present,3339
2026-05-01,Akash Sharma,North,JhunjhunuHub_JNJ_PL,FK,Present,117
2026-05-01,Akash Sharma,North,JodhpurHub_JDH_PL,EXT,Future,8
2026-05-01,Akash Sharma,North,JodhpurHub_JDH_PL,EXT,Past,18
2026-05-01,Akash Sharma,North,JodhpurHub_JDH_PL,EXT,Present,840
2026-05-01,Akash Sharma,North,JodhpurHub_JDH_PL,FK,Future,752
2026-05-01,Akash Sharma,North,JodhpurHub_JDH_PL,FK,Past,335
2026-05-01,Akash Sharma,North,JodhpurHub_JDH_PL,FK,Present,21306
2026-05-01,Akash Sharma,North,JodhpurHub_JDH_PL,MYE,Future,12
2026-05-01,Akash Sharma,North,JodhpurHub_JDH_PL,MYE,Past,3
2026-05-01,Akash Sharma,North,JodhpurHub_JDH_PL,MYE,Present,29
2026-05-01,Akash Sharma,North,KotaHub_KTU_PL,EXT,Future,25
2026-05-01,Akash Sharma,North,KotaHub_KTU_PL,EXT,Past,20
2026-05-01,Akash Sharma,North,KotaHub_KTU_PL,EXT,Present,274
2026-05-01,Akash Sharma,North,KotaHub_KTU_PL,FK,Future,326
2026-05-01,Akash Sharma,North,KotaHub_KTU_PL,FK,Past,113
2026-05-01,Akash Sharma,North,KotaHub_KTU_PL,FK,Present,5707
2026-05-01,Akash Sharma,North,KotaHub_KTU_PL,MYE,Future,9
2026-05-01,Akash Sharma,North,KotaHub_KTU_PL,MYE,Past,25
2026-05-01,Akash Sharma,North,KotaHub_KTU_PL,MYE,Present,11
2026-05-01,Akash Sharma,North,MakranaHub_MAK_PL,FK,Future,23
2026-05-01,Akash Sharma,North,MakranaHub_MAK_PL,FK,Past,14
2026-05-01,Akash Sharma,North,MakranaHub_MAK_PL,FK,Present,978
2026-05-01,Akash Sharma,North,MalviyaNagarhub_JAI_PL,EXT,Future,43
2026-05-01,Akash Sharma,North,MalviyaNagarhub_JAI_PL,EXT,Past,32
2026-05-01,Akash Sharma,North,MalviyaNagarhub_JAI_PL,EXT,Present,360
2026-05-01,Akash Sharma,North,MalviyaNagarhub_JAI_PL,FK,Future,851
2026-05-01,Akash Sharma,North,MalviyaNagarhub_JAI_PL,FK,Past,205
2026-05-01,Akash Sharma,North,MalviyaNagarhub_JAI_PL,FK,Present,20680
2026-05-01,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYE,Future,44
2026-05-01,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYE,Past,5
2026-05-01,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYE,Present,82
2026-05-01,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYS,Future,62
2026-05-01,Akash Sharma,North,MalviyaNagarhub_JAI_PL,MYS,Present,305
2026-05-01,Akash Sharma,North,NAGAURODH_NGR_PL,FK,Past,1
2026-05-01,Akash Sharma,North,NAGAURODH_NGR_PL,FK,Present,60
2026-05-01,Akash Sharma,North,PaliHub_PAL_PL,EXT,Future,5
2026-05-01,Akash Sharma,North,PaliHub_PAL_PL,EXT,Past,16
2026-05-01,Akash Sharma,North,PaliHub_PAL_PL,EXT,Present,53
