date,gm,zone,name,stack,flag,picked_count,MH
07-08-2026,Akash Sharma,North,BikanerHub_BKB_PL,EXT,Future,1,NA
07-08-2026,Akash Sharma,North,BikanerHub_BKB_PL,EXT,Past,4,NA
07-08-2026,Akash Sharma,North,BikanerHub_BKB_PL,EXT,Present,27,NA
07-08-2026,Akash Sharma,North,BikanerHub_BKB_PL,FK,Future,259,NA
07-08-2026,Akash Sharma,North,BikanerHub_BKB_PL,FK,Past,31,NA
07-08-2026,Akash Sharma,North,BikanerHub_BKB_PL,FK,Present,3134,NA
07-08-2026,Akash Sharma,North,BikanerHub_BKB_PL,MYE,Future,16,NA
07-08-2026,Akash Sharma,North,BikanerHub_BKB_PL,MYE,Present,34,NA
07-08-2026,Akash Sharma,North,ChoumuHub_JAI_PL,EXT,Future,1,NA
07-08-2026,Akash Sharma,North,ChoumuHub_JAI_PL,EXT,Present,1,NA
07-08-2026,Akash Sharma,North,ChoumuHub_JAI_PL,FK,Future,1389,NA
07-08-2026,Akash Sharma,North,ChoumuHub_JAI_PL,FK,Past,93,NA
07-08-2026,Akash Sharma,North,ChoumuHub_JAI_PL,FK,Present,2191,NA
07-08-2026,Akash Sharma,North,ChoumuHub_JAI_PL,MYE,Present,2,NA
07-08-2026,Akash Sharma,North,DholpurHub_DLP_PL,FK,Future,3,NA
07-08-2026,Akash Sharma,North,DholpurHub_DLP_PL,FK,Present,21,NA
07-08-2026,Akash Sharma,North,DholpurHub_DLP_PL,MYE,Future,4,NA
07-08-2026,Akash Sharma,North,DholpurHub_DLP_PL,MYE,Present,2,NA
07-08-2026,Akash Sharma,North,HanumangarhHub_HAN_PL,EXT,Future,3,NA
07-08-2026,Akash Sharma,North,HanumangarhHub_HAN_PL,EXT,Past,7,NA
07-08-2026,Akash Sharma,North,HanumangarhHub_HAN_PL,EXT,Present,3,NA
07-08-2026,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Future,27,NA
07-08-2026,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Past,26,NA
07-08-2026,Akash Sharma,North,HanumangarhHub_HAN_PL,FK,Present,565,NA
07-08-2026,Akash Sharma,North,HanumangarhHub_HAN_PL,MYE,Future,4,NA
07-08-2026,Akash Sharma,North,HanumangarhHub_HAN_PL,MYE,Past,1,NA
07-08-2026,Akash Sharma,North,HanumangarhHub_HAN_PL,MYE,Present,8,NA
07-08-2026,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Future,8,NA
07-08-2026,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Past,10,NA
07-08-2026,Akash Sharma,North,HawamahalHub_JAI_PL,EXT,Present,48,NA
07-08-2026,Akash Sharma,North,HawamahalHub_JAI_PL,FK,Future,1424,NA
07-08-2026,Akash Sharma,North,HawamahalHub_JAI_PL,FK,Past,139,NA
07-08-2026,Akash Sharma,North,HawamahalHub_JAI_PL,FK,Present,22812,NA
07-08-2026,Akash Sharma,North,HawamahalHub_JAI_PL,MYE,Future,314,NA
07-08-2026,Akash Sharma,North,HawamahalHub_JAI_PL,MYE,Past,13,NA
07-08-2026,Akash Sharma,North,HawamahalHub_JAI_PL,MYE,Present,615,NA
07-08-2026,Akash Sharma,North,HawamahalHub_JAI_PL,MYS,Future,14,NA
07-08-2026,Akash Sharma,North,HawamahalHub_JAI_PL,MYS,Present,1365,NA
07-08-2026,Akash Sharma,North,IDENTIFYPLUSRAJSAMANDODH_RJS_PL,FK,Future,1,NA
07-08-2026,Akash Sharma,North,IDENTIFYPLUSRAJSAMANDODH_RJS_PL,FK,Past,72,NA
07-08-2026,Akash Sharma,North,IDENTIFYPLUSRAJSAMANDODH_RJS_PL,FK,Present,285,NA
07-08-2026,Akash Sharma,North,IDENTIFYPLUSSHAHPURAODH_SHA_PL,FK,Future,1,NA
